source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,ACT,10.3155
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,AUS,11.8508
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,NSW,11.0979
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,NT,13.0145
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,QLD,11.3983
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,SA,11.445
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,TAS,11.2442
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,VIC,12.3714
93090do001_2019.xls,2019,Table 3,Articulated trucks,2018,WA,12.8894
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,ACT,10.5
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,AUS,11.8
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,NSW,10.9
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,NT,13.2
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,QLD,11.4
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,SA,11.4
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,TAS,11.3
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,VIC,12.3
93090do001_2020.xls,2020,Table 3,Articulated trucks,2019,WA,13.1
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,ACT,10.7
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,AUS,12.0
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,NSW,11.0
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,NT,13.1
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,QLD,11.5
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,SA,11.5
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,TAS,11.4
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,VIC,12.4
93090do001_2021.xls,2021,Table 3,Articulated trucks,2020,WA,13.4
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,ACT,11.3
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,AUS,12.3
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,NSW,11.9
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,NT,13.4
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,QLD,11.7
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,SA,11.7
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,TAS,11.7
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,VIC,12.5
93090do001_2021.xls,2021,Table 3,Articulated trucks,2021,WA,13.7
93090DO001_31201501.xls,2015,Table 3,Buses,2010,ACT,11.8
93090DO001_31201501.xls,2015,Table 3,Buses,2010,AUS,11.0
93090DO001_31201501.xls,2015,Table 3,Buses,2010,NSW,11.2
93090DO001_31201501.xls,2015,Table 3,Buses,2010,NT,8.7
93090DO001_31201501.xls,2015,Table 3,Buses,2010,QLD,10.0
93090DO001_31201501.xls,2015,Table 3,Buses,2010,SA,11.8
93090DO001_31201501.xls,2015,Table 3,Buses,2010,TAS,14.5
93090DO001_31201501.xls,2015,Table 3,Buses,2010,VIC,11.5
93090DO001_31201501.xls,2015,Table 3,Buses,2010,WA,10.9
