dependence,scenario_family,bev_fcev_share_nsw_mean,renewable_share_nsw_mean,fossil_share_nsw_mean,road_direct_emissions_national_mean
independent,conservative,2.297066205749837,57.294885764177025,88.25283507724096,92.13253638738341
independent,central,2.7682275797424793,59.437776247429056,87.87749664650983,90.3771650510808
independent,optimistic,3.2099340549610784,61.68669405876496,87.42450817689236,88.72526566112613
independent,stress_tail,2.033698518611122,55.73140294778428,88.63394308035834,93.15925184811789
gaussian,conservative,2.295134674098998,57.304935468993975,88.24984784230408,92.13394597098642
gaussian,central,2.760781842243287,59.45451659095689,87.87546485345615,90.39399722697867
gaussian,optimistic,3.211483508396159,61.70787011238077,87.42323457785561,88.7168058879821
gaussian,stress_tail,2.0319279846216745,55.72557619569989,88.63550949019063,93.15461736385255
student_t,conservative,2.296035379861236,57.310724432362456,88.25083790534522,92.12244937188551
student_t,central,2.764992719736888,59.43621933698383,87.87085825234723,90.3827173871272
student_t,optimistic,3.2099745380804605,61.70466941235666,87.42333031330286,88.7177000569833
student_t,stress_tail,2.0320394850959267,55.724382378158424,88.63591031501578,93.1491324274949
