source_workbook,sheet,topic,section,period_type,period,variable,variable_slug,measure,value,unit
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1978-79,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.9871796693838537,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1978-79,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,3.5626129501435946,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1978-79,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,2.71760308109126,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1978-79,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,48.85057053451415,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1979-80,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,41.32160890497364,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1979-80,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.9862495872176926,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1979-80,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,3.738167691125646,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1979-80,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,2.826527278441506,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1979-80,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,49.87255346175848,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1980-81,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,42.20378714951062,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1980-81,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.9529978548921927,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1980-81,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,3.779134699793204,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1980-81,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,2.809616664079514,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1980-81,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,50.74553636827553,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1981-82,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,44.20954407137266,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1981-82,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.9233220848569161,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1981-82,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,3.257998193848769,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1981-82,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,3.1467079594192366,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1981-82,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,52.537572309497584,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1982-83,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,43.72721037523189,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1982-83,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.7641589934956052,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1982-83,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,2.975048534542032,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1982-83,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,3.031549347267118,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1982-83,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,51.49796725053665,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1983-84,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,45.80276392519752,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1983-84,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.9205262145189526,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1983-84,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,3.0369465116091052,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1983-84,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,2.9569579805443142,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1983-84,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,53.71719463186989,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1984-85,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,47.58796659978911,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1984-85,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,2.0312698172930923,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1984-85,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,2.89431953272753,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1984-85,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,3.0387493217210952,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1984-85,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,55.55230527153083,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1985-86,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,48.75388892289116,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1985-86,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,1.977115185189592,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1985-86,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,2.972968406496841,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1985-86,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,3.266962820497819,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1985-86,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,56.9709353350754,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1986-87,Road vehicles (including off-road vehicles such as trail bikes),road_vehicles_including_off_road_vehicles_such_as_trail_bikes,direct_ghg_emissions,49.66466653957722,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1986-87,Rail (excluding electricity generation),rail_excluding_electricity_generation,direct_ghg_emissions,2.0076425869539603,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1986-87,Domestic maritime (including small craft),domestic_maritime_including_small_craft,direct_ghg_emissions,2.9503229104369955,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1986-87,Domestic aviation (including general aviation),domestic_aviation_including_general_aviation,direct_ghg_emissions,3.3544932615462173,Mt CO2-e
9. TRANSPORT ENERGY AND ENVIRONEMENT.xlsx,Table 9.3,transport_direct_ghg_by_mode,,financial_year,1986-87,Total civil domestic (including off-road recreational vehicles),total_civil_domestic_including_off_road_recreational_vehicles,direct_ghg_emissions,57.977125298514395,Mt CO2-e
