source_workbook,sheet,topic,section,period_type,period,variable,variable_slug,measure,value,unit
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1979-80,Air,air,passenger_activity,10.35560880283983,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1979-80,Other,other,passenger_activity,19.3,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1979-80,Total,total,passenger_activity,191.16819154828636,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1980-81,Passenger cars,passenger_cars,passenger_activity,147.1,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1980-81,Buses,buses,passenger_activity,8.718061445984995,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1980-81,Rail,rail,passenger_activity,8.695311057772189,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1980-81,Air,air,passenger_activity,10.704205315463005,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1980-81,Other,other,passenger_activity,19.7,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1980-81,Total,total,passenger_activity,194.91757781922018,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1981-82,Passenger cars,passenger_cars,passenger_activity,154.3,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1981-82,Buses,buses,passenger_activity,9.217441430665428,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1981-82,Rail,rail,passenger_activity,8.669018960988016,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1981-82,Air,air,passenger_activity,11.153397224887717,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1981-82,Other,other,passenger_activity,20.1,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1981-82,Total,total,passenger_activity,203.43985761654116,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1982-83,Passenger cars,passenger_cars,passenger_activity,154.8,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1982-83,Buses,buses,passenger_activity,10.458172528585306,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1982-83,Rail,rail,passenger_activity,8.521995897392351,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1982-83,Air,air,passenger_activity,10.265418906338422,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1982-83,Other,other,passenger_activity,19.8,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1982-83,Total,total,passenger_activity,203.8455873323161,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1983-84,Passenger cars,passenger_cars,passenger_activity,161.8,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1983-84,Buses,buses,passenger_activity,11.708402323063364,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1983-84,Rail,rail,passenger_activity,8.476791960722025,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1983-84,Air,air,passenger_activity,10.635359255474958,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1983-84,Other,other,passenger_activity,21.1,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1983-84,Total,total,passenger_activity,213.72055353926035,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1984-85,Passenger cars,passenger_cars,passenger_activity,167.9,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1984-85,Buses,buses,passenger_activity,13.022341534154922,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1984-85,Rail,rail,passenger_activity,8.463619019315171,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1984-85,Air,air,passenger_activity,11.3367640934,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1984-85,Other,other,passenger_activity,22.0,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1984-85,Total,total,passenger_activity,222.7227246468701,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1985-86,Passenger cars,passenger_cars,passenger_activity,173.1,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1985-86,Buses,buses,passenger_activity,14.002930118824494,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1985-86,Rail,rail,passenger_activity,9.022548407943603,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1985-86,Air,air,passenger_activity,12.342962654706122,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1985-86,Other,other,passenger_activity,22.1,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1985-86,Total,total,passenger_activity,230.56844118147418,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1986-87,Passenger cars,passenger_cars,passenger_activity,176.8,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1986-87,Buses,buses,passenger_activity,15.028748130878093,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1986-87,Rail,rail,passenger_activity,9.419003485251176,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1986-87,Air,air,passenger_activity,13.157598157271936,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1986-87,Other,other,passenger_activity,22.2,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1986-87,Total,total,passenger_activity,236.6053497734012,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1987-88,Passenger cars,passenger_cars,passenger_activity,185.5,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1987-88,Buses,buses,passenger_activity,16.0193706755732,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1987-88,Rail,rail,passenger_activity,9.84338200864044,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1987-88,Air,air,passenger_activity,14.46098272245,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1987-88,Other,other,passenger_activity,22.8,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1987-88,Total,total,passenger_activity,248.62373540666368,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1988-89,Passenger cars,passenger_cars,passenger_activity,194.4,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1988-89,Buses,buses,passenger_activity,16.86554978049812,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1988-89,Rail,rail,passenger_activity,10.164370522084377,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1988-89,Air,air,passenger_activity,15.068935395475686,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1988-89,Other,other,passenger_activity,23.8,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1988-89,Total,total,passenger_activity,260.29885569805816,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1989-90,Passenger cars,passenger_cars,passenger_activity,200.04928457206586,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1989-90,Buses,buses,passenger_activity,17.733496091158248,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1989-90,Rail,rail,passenger_activity,10.005013960188759,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1989-90,Air,air,passenger_activity,11.257508057365879,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1989-90,Other,other,passenger_activity,23.2077186614424,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1989-90,Total,total,passenger_activity,262.25302134222113,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1990-91,Passenger cars,passenger_cars,passenger_activity,200.48618242165205,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1990-91,Buses,buses,passenger_activity,17.039042260707735,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1990-91,Rail,rail,passenger_activity,9.969918200864951,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1990-91,Air,air,passenger_activity,15.97886749473893,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1990-91,Other,other,passenger_activity,22.393282221078312,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1990-91,Total,total,passenger_activity,265.86729259904195,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1991-92,Passenger cars,passenger_cars,passenger_activity,204.5057026277961,billion passenger-km
