source_workbook,release_year,table,vehicle_type,manufacture_period,jurisdiction,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2019 - 2024,WA,16.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2019 - 2024,TAS,469.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2019 - 2024,NT,15.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2019 - 2024,ACT,116.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2019 - 2024,AUS,14161.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,NSW,4620.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,VIC,3209.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,QLD,3874.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,SA,545.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,WA,86.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,TAS,594.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,NT,19.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,ACT,114.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2014 - 2018,AUS,13061.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,NSW,5290.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,VIC,3420.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,QLD,3473.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,SA,449.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,WA,140.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,TAS,611.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,NT,13.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,ACT,150.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2009 - 2013,AUS,13546.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,NSW,8705.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,VIC,6700.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,QLD,6242.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,SA,1002.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,WA,701.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,TAS,1039.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,NT,35.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,ACT,241.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,2004 - 2008,AUS,24665.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,NSW,8682.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,VIC,7347.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,QLD,10362.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,SA,1400.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,WA,996.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,TAS,3172.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,NT,39.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,ACT,270.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Campervans,To 2003,AUS,32268.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,NSW,323145.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,VIC,253629.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,QLD,285642.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,SA,72440.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,WA,131780.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,TAS,27807.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,NT,15051.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,ACT,11996.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2019 - 2024,AUS,1121490.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,NSW,298495.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,VIC,231094.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,QLD,265164.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,SA,66225.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,WA,115253.0
