source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Buses,2023,dual_fuel,1299.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Buses,2023,hybrid_electric,25.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Buses,2023,other,1130.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Buses,2023,petrol,12994.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Buses,2023,total,98207.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Campervans,2021,battery_fuel_cell_electric,3.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Campervans,2021,diesel,46807.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Campervans,2021,dual_fuel,991.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Campervans,2021,hybrid_electric,71.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Campervans,2021,other,131.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Campervans,2021,petrol,37435.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Campervans,2021,total,85438.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,battery_fuel_cell_electric,4.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,diesel,50433.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,dual_fuel,945.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,hybrid_electric,90.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 4,Campervans,2022,other,124.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,other_or_not_specified,124.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,petrol,38977.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2022,total,90573.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2023,battery_fuel_cell_electric,4.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2023,diesel,55408.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2023,dual_fuel,890.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2023,hybrid_electric,102.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2023,other,115.0
