source_workbook,release_year,table,vehicle_type,year,jurisdiction,vehicles
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2022,NSW,26256.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2022,NT,2603.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2022,QLD,21189.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2022,SA,6198.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2022,TAS,2962.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2022,VIC,20145.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2022,WA,15043.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,ACT,1045.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,AUS,98207.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,NSW,26866.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,NT,2701.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,QLD,21947.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,SA,6386.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,TAS,3071.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,VIC,20494.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Buses,2023,WA,15697.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,ACT,710.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,AUS,85438.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,NSW,28169.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,NT,112.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,QLD,24425.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,SA,3213.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,TAS,5502.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,VIC,21449.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Campervans,2021,WA,1858.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,ACT,779.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,AUS,90573.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,NSW,30064.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,NT,96.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,QLD,25745.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,SA,3456.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,TAS,5729.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,VIC,22779.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Campervans,2022,WA,1925.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,ACT,853.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,AUS,96347.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,NSW,31589.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,NT,127.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,QLD,26962.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,SA,3760.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,TAS,5881.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,VIC,24448.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2023,WA,2727.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,ACT,895.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,AUS,99300.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,NSW,32398.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,NT,140.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,QLD,28295.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,SA,3901.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,TAS,5907.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,VIC,25031.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2024,WA,2733.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,ACT,937.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,AUS,103481.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,NSW,33346.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,NT,131.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,QLD,29945.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,SA,4068.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,TAS,6089.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,VIC,26273.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Campervans,2025,WA,2692.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,ACT,627.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,AUS,46182.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,NSW,14277.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,NT,845.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,QLD,9160.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,SA,3231.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,TAS,1595.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,VIC,9759.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy buses,2022,WA,6688.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,ACT,621.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,AUS,47268.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,NSW,14219.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,NT,1045.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,QLD,9588.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,SA,3245.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,TAS,1648.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,VIC,9855.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2023,WA,7047.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,ACT,623.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,AUS,47820.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,NSW,14342.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,NT,1034.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,QLD,9824.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,SA,3230.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,TAS,1671.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,VIC,9992.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2024,WA,7104.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,ACT,629.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,AUS,48916.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,NSW,14507.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,NT,1011.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,QLD,10141.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,SA,3305.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,TAS,1673.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,VIC,10345.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy buses,2025,WA,7305.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,ACT,1700.0
