period,mode,mode_slug,value,unit
1990-91,Heavy rail,heavy_rail,4.284940700955349,billion passenger-km
1990-91,Light rail,light_rail,0.01213,billion passenger-km
1990-91,Bus,bus,1.9471579546801328,billion passenger-km
1990-91,Total,total,43.756662146171834,billion passenger-km
1991-92,Passenger cars,passenger_cars,35.28798433901867,billion passenger-km
1991-92,Commercial vehicles,commercial_vehicles,2.471319887005249,billion passenger-km
1991-92,Heavy rail,heavy_rail,4.190514990892349,billion passenger-km
1991-92,Light rail,light_rail,0.012119999999999999,billion passenger-km
1991-92,Bus,bus,1.9319602478197992,billion passenger-km
1991-92,Total,total,44.2265676843016,billion passenger-km
1992-93,Passenger cars,passenger_cars,36.35065834331896,billion passenger-km
1992-93,Commercial vehicles,commercial_vehicles,2.5122640879339473,billion passenger-km
1992-93,Heavy rail,heavy_rail,4.035260918580649,billion passenger-km
1992-93,Light rail,light_rail,0.012119999999999999,billion passenger-km
1992-93,Bus,bus,1.9074490232210992,billion passenger-km
1992-93,Total,total,45.12931630960653,billion passenger-km
1993-94,Passenger cars,passenger_cars,37.19635657421209,billion passenger-km
1993-94,Commercial vehicles,commercial_vehicles,2.60101998624218,billion passenger-km
1993-94,Heavy rail,heavy_rail,4.141948341415298,billion passenger-km
1993-94,Light rail,light_rail,0.01211,billion passenger-km
1993-94,Bus,bus,1.8978176582891633,billion passenger-km
1993-94,Total,total,46.15931753278534,billion passenger-km
1994-95,Passenger cars,passenger_cars,38.25988813740259,billion passenger-km
1994-95,Commercial vehicles,commercial_vehicles,2.7758058591330186,billion passenger-km
1994-95,Heavy rail,heavy_rail,4.4179588790353455,billion passenger-km
1994-95,Light rail,light_rail,0.0121,billion passenger-km
1994-95,Bus,bus,1.9216900831212618,billion passenger-km
1994-95,Total,total,47.701246259208595,billion passenger-km
1995-96,Passenger cars,passenger_cars,38.48317638039482,billion passenger-km
1995-96,Commercial vehicles,commercial_vehicles,2.913643762932422,billion passenger-km
1995-96,Heavy rail,heavy_rail,4.525506364418455,billion passenger-km
