source_family,jurisdiction,year,petrol_vehicles,diesel_vehicles,transition_or_other_vehicles,total_vehicles,petrol_share_percent,diesel_share_percent,transition_or_other_share_percent,total_vehicles_yoy_percent,petrol_vehicles_yoy_percent,diesel_vehicles_yoy_percent,definition_note
ABS,NSW,2015,4197400.0,934180.0,115619.0,5247199.0,79.99315444297042,17.803403301456644,2.2034422555729254,2.8388280541993183,1.442266676623834,10.805223210526128,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2016,4235189.0,1030701.0,108529.0,5374419.0,78.8027319790288,19.177905555930792,2.019362465040407,2.4245316405952964,0.9002954209748892,10.332162966451861,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2017,4271785.0,1134554.0,102771.0,5509110.0,77.54038311088361,20.594143155609526,1.865473733506864,2.5061499670941174,0.8640936685470234,10.07595801304161,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2018,4285586.0,1235886.0,96913.0,5618385.0,76.27789836403166,21.997175344872236,1.7249262910961067,1.9835327303321226,0.32307337564975763,8.9314391381988,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2019,4280176.0,1318150.0,103874.0,5702200.0,75.06183578268036,23.116516432254215,1.8216477850654131,1.4917987998330482,-0.12623711203088678,6.656277358914981,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2020,4276204.0,1393740.0,109095.0,5779039.0,73.99507080675524,24.117158579480083,1.887770613764676,1.3475325313037074,-0.09279992224618801,5.734552213329287,"ABS other includes LPG, dual fuel and electric; not EV-specific."
BITRE,AUS,2021,14421354.0,5395853.0,440532.0,20257739.0,71.18935632451381,26.63600809547403,2.174635580012162,2.28427386545572,0.22384234782539197,6.602017511972309,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,AUS,2022,14474594.0,5688736.0,579238.0,20676596.0,70.0047241818721,27.512923307105293,2.8014185700586305,2.067639433996064,0.36917476680761047,5.427927706703648,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,AUS,2023,14542497.0,5993410.0,686837.0,21161184.0,68.72251098993327,28.32265907238461,3.245739935912849,2.343654632513011,0.4691185120632745,5.3557415918052795,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,AUS,2024,14630945.0,6292700.0,873385.0,21740045.0,67.2995157093741,28.945202275340275,4.017401987898369,2.735484933168201,0.6082036668118274,4.993651360410851,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,AUS,2025,14632710.0,6555770.0,1116867.0,22305347.0,65.60180390827365,29.39102449291643,5.007171598809918,2.600279806228552,0.012063472318431925,4.180558424841483,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2021,4355954.0,1487903.0,110540.0,5954397.0,73.15524980951051,24.988306960385746,1.8564432301037368,3.034379937564014,1.8649718301559048,6.756138160632543,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2022,4350198.0,1561362.0,148675.0,6048288.0,71.92445201022174,25.81494135199911,2.4581336073943567,1.5768347323834804,-0.1321409730222128,4.937082592077575,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2023,4342263.0,1637342.0,186928.0,6155747.0,70.53998483043569,26.598591527559527,3.0366420192382826,1.7766845758667578,-0.18240549050870788,4.866264197540353,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2024,4348041.0,1709896.0,248283.0,6296646.0,69.05328646393652,27.15566350720685,3.9430992309238917,2.288901736864754,0.13306425704753488,4.431206186612204,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2025,4310835.0,1762690.0,334349.0,6407874.0,67.27402879644637,27.508187582964332,5.217783620589294,1.7664642414390137,-0.8556957029614027,3.0875562022485576,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
