year,dependence,scenario_family,lever,weak_alignment_probability,low_uptake_shortfall,renewable_shortfall,fossil_excess,emissions_excess,activity_excess
2026,independent,central,none,0.2498,0.07052655336585062,0.1656498321954812,0.1841177953263852,0.13737738521427037,0.17183919603010064
2026,independent,central,uptake_push,0.3818,0.00800439333429731,0.1656498321954812,0.12914939334549555,0.13737738521427037,0.17183919603010064
2026,independent,central,renewable_push,0.16375,0.07052655336585062,0.04388534360775605,0.1841177953263852,0.09107992823078226,0.17183919603010064
2026,independent,central,fossil_reduction,0.2498,0.07052655336585062,0.1656498321954812,0.08554631898894824,0.08023078163873165,0.17183919603010064
2026,independent,central,balanced_package,0.2576,0.01975625326057416,0.07500438766523129,0.11886788648323657,0.08023078163873165,0.17183919603010064
2026,independent,central,delay_case,0.26195,0.09064938025121817,0.19525583474296665,0.22721799409804688,0.14960963961102025,0.17183919603010064
2027,independent,central,none,0.25315,0.0693689911474431,0.16868291973569263,0.1825964163560409,0.13875214357553783,0.17069033095332956
2027,independent,central,uptake_push,0.3875,0.007817649605776899,0.16868291973569263,0.1281979449891238,0.13875214357553783,0.17069033095332956
2027,independent,central,renewable_push,0.16415,0.0693689911474431,0.04467494137930353,0.1825964163560409,0.09198452646623871,0.17069033095332956
2027,independent,central,fossil_reduction,0.25315,0.0693689911474431,0.16868291973569263,0.08478144381420874,0.08106014732232265,0.17069033095332956
2027,independent,central,balanced_package,0.2664,0.019099822037036005,0.07645284164063354,0.11789127998735384,0.08106014732232265,0.17069033095332956
2027,independent,central,delay_case,0.26655,0.08959410669925183,0.19820153868007329,0.22588103661105752,0.15120500923509878,0.17069033095332956
2028,independent,central,none,0.2413,0.07013402822428687,0.1651896970550557,0.18459022767796554,0.1407254630583151,0.17289038870301862
2028,independent,central,uptake_push,0.37475,0.007938645853026904,0.1651896970550557,0.12961236661367728,0.1407254630583151,0.17289038870301862
2028,independent,central,renewable_push,0.1579,0.07013402822428687,0.04391487287062205,0.18459022767796554,0.0934380810995765,0.17289038870301862
2028,independent,central,fossil_reduction,0.2413,0.07013402822428687,0.1651896970550557,0.08586600444998305,0.08234999901923953,0.17289038870301862
2028,independent,central,balanced_package,0.25525,0.019640894562718017,0.07498491897943267,0.11930040059984892,0.08234999901923953,0.17289038870301862
2028,independent,central,delay_case,0.2545,0.09021771478164843,0.194012362911223,0.2278293153773379,0.1532158255089475,0.17289038870301862
2029,independent,central,none,0.24985,0.06975673254695737,0.1651545774257111,0.1840453025186389,0.14013532960620845,0.17499328140529524
2029,independent,central,uptake_push,0.3799,0.007918139429493072,0.1651545774257111,0.1293154446067946,0.14013532960620845,0.17499328140529524
2029,independent,central,renewable_push,0.1651,0.06975673254695737,0.044031360016872176,0.1840453025186389,0.09303364035842332,0.17499328140529524
2029,independent,central,fossil_reduction,0.24985,0.06975673254695737,0.1651545774257111,0.08563152191050544,0.08202239453637976,0.17499328140529524
2029,independent,central,balanced_package,0.25895,0.019388388173916714,0.07512292155562966,0.11895375840358695,0.08202239453637976,0.17499328140529524
2029,independent,central,delay_case,0.26465,0.09001821658926867,0.1942994206464549,0.22769010950180463,0.15258100670126765,0.17499328140529524
2030,independent,central,none,0.2497,0.06988805619439636,0.16780240214844266,0.18387159386149282,0.13796020368399298,0.17255156993899753
2030,independent,central,uptake_push,0.38415,0.007985202113877753,0.16780240214844266,0.1291146740823198,0.13796020368399298,0.17255156993899753
2030,independent,central,renewable_push,0.16225,0.06988805619439636,0.044624771000233966,0.18387159386149282,0.09114355287394581,0.17255156993899753
2030,independent,central,fossil_reduction,0.2497,0.06988805619439636,0.16780240214844266,0.08540693424021126,0.08019837584345034,0.17255156993899753
2030,independent,central,balanced_package,0.2609,0.019560289982617333,0.07610529513479065,0.11876788547778458,0.08019837584345034,0.17255156993899753
2030,independent,central,delay_case,0.2633,0.08978389297530967,0.19716984580973856,0.22727755290072738,0.15062923267970654,0.17255156993899753
