lever,mean_reduction_median,mean_reduction_min,cvar95_reduction_median,cvar95_reduction_min,share_positive_mean_reduction,share_positive_cvar95_reduction
balanced_package,0.056938176913290645,0.04671322653925375,0.07299968684164088,-0.006372603568045587,1.0,0.8888888888888888
fossil_reduction,0.0574406142976667,0.030818770716775287,0.07200344656644075,0.04641046868925941,1.0,1.0
renewable_push,0.050354822540580796,0.039213053564500694,0.06861779735533319,0.06469022048077666,1.0,1.0
delay_case,-0.023531620351640414,-0.029812539327870785,-0.010574747198360157,-0.015865990768728744,0.0,0.0
uptake_push,0.0035148057498071983,-0.04646743109378759,-0.02717778754664607,-0.07724447127047568,0.6666666666666666,0.2222222222222222
