year,dependence,scenario_family,lever,n_samples,mean_loss,p90_loss,cvar90_loss,p95_loss,cvar95_loss,weak_alignment_probability,fossil_persistence_probability,emissions_pressure_probability,activity_pressure_probability
2026,independent,central,none,20000,0.1579057412136335,0.30295201569804897,0.3504927727467383,0.3415702767405302,0.3805116559026733,0.2498,0.65225,0.4936,0.4969
2026,independent,central,uptake_push,20000,0.1542076288111449,0.3074079223004014,0.3469077339538013,0.3391443697868312,0.37144655098125323,0.3818,0.5978,0.4936,0.4969
2026,independent,central,renewable_push,20000,0.1174740765287771,0.2356078723158812,0.2827168714768831,0.27332845583498144,0.3126406368435739,0.16375,0.65225,0.433,0.4969
2026,independent,central,fossil_reduction,20000,0.12676212523103836,0.26463587469578526,0.30209697204040437,0.29490975063822816,0.325018843646244,0.2498,0.5244,0.41375,0.4969
2026,independent,central,balanced_package,20000,0.11084556202930324,0.2463675682670827,0.28386548473469486,0.2768301609097453,0.3075457255222011,0.2576,0.582,0.41375,0.4969
2026,independent,central,delay_case,20000,0.17926019760651213,0.3171364394990934,0.3631654208932431,0.35458347888804104,0.39163963788406886,0.26195,0.78945,0.5399,0.4969
2027,independent,central,none,20000,0.15848748127149123,0.30329453536494977,0.3503676924592256,0.3417351661781371,0.3805593923951583,0.25315,0.6491,0.5002,0.49545
2027,independent,central,uptake_push,20000,0.15545001868977457,0.3083111600321759,0.34736405422477973,0.3386511210508462,0.37200288423353606,0.3875,0.59575,0.5002,0.49545
2027,independent,central,renewable_push,20000,0.11718276109617302,0.2348893800027674,0.2821475899010912,0.273284904693531,0.31204224287017435,0.16415,0.6491,0.43505,0.49545
2027,independent,central,fossil_reduction,20000,0.12738608751248176,0.26525542259431956,0.3020455942783183,0.2945652776938129,0.32469684440668756,0.25315,0.52215,0.41625,0.49545
2027,independent,central,balanced_package,20000,0.11210720921077047,0.24861105304071054,0.28417211957589017,0.27675011319104087,0.30696281792388036,0.2664,0.5804,0.41625,0.49545
2027,independent,central,delay_case,20000,0.18011779440642556,0.318063495225343,0.3627774054782617,0.35440354982593736,0.3911218732938879,0.26655,0.7904,0.5464,0.49545
2028,independent,central,none,20000,0.1573524372206737,0.3016194605377645,0.3502300021184162,0.33990648156963943,0.38062939416903524,0.2413,0.65325,0.5042,0.5007
2028,independent,central,uptake_push,20000,0.15393528853356409,0.3074053905805356,0.3466517130524046,0.33789099459788036,0.3717352080010908,0.37475,0.59755,0.5042,0.5007
2028,independent,central,renewable_push,20000,0.11719373720126096,0.2341696541774218,0.28257663530426635,0.27371960355979424,0.31301179814485713,0.1579,0.65325,0.4404,0.5007
2028,independent,central,fossil_reduction,20000,0.12593249976726212,0.2642076026682445,0.30241023505875414,0.2949954539517171,0.3255614281130178,0.2413,0.5271,0.4231,0.5007
2028,independent,central,balanced_package,20000,0.11108253555357805,0.24841681647685213,0.2851009805863858,0.27806434303323635,0.3083624275660949,0.25525,0.5821,0.4231,0.5007
2028,independent,central,delay_case,20000,0.1788184644405721,0.3164209640036961,0.3620900993114418,0.3526888110979933,0.3911237956165888,0.2545,0.79165,0.55205,0.5007
2029,independent,central,none,20000,0.15853748768874712,0.3033828401728603,0.3526846634536281,0.3424703302614843,0.3842756750070814,0.24985,0.6529,0.5028,0.50205
2029,independent,central,uptake_push,20000,0.15473129748288542,0.310713615928333,0.349911811990442,0.3412125962752718,0.37503856288957776,0.3799,0.5984,0.5028,0.50205
2029,independent,central,renewable_push,20000,0.11823616722786426,0.2361490919965101,0.2846699862886334,0.27452606591272133,0.31571319488712707,0.1651,0.6529,0.4381,0.50205
2029,independent,central,fossil_reduction,20000,0.1272321445531547,0.2659709873855016,0.30394174371882454,0.29626799581402863,0.32720889335022196,0.24985,0.52355,0.4193,0.50205
2029,independent,central,balanced_package,20000,0.11168317459665066,0.24886915811106483,0.2863893292164705,0.27891146218804946,0.31053806789553007,0.25895,0.5823,0.4193,0.50205
2029,independent,central,delay_case,20000,0.18039960779596595,0.31873394710006075,0.3664173392978655,0.35655732390629014,0.39672449944418847,0.26465,0.7923,0.5498,0.50205
2030,independent,central,none,20000,0.15822448806414258,0.30389965576203476,0.3515379026142433,0.34157396129785333,0.3812861705809416,0.2497,0.65305,0.50155,0.49845
2030,independent,central,uptake_push,20000,0.15506003329220425,0.3101824494032208,0.348513237641661,0.3394335423575846,0.3729317221204622,0.38415,0.59745,0.50155,0.49845
2030,independent,central,renewable_push,20000,0.11726701322990184,0.23575629491671335,0.28306292295126206,0.27308877206950466,0.31343801290744916,0.16225,0.65305,0.43845,0.49845
2030,independent,central,fossil_reduction,20000,0.12697919057177773,0.2657612185650301,0.30288238720176663,0.2958754112633373,0.3255615261434672,0.2497,0.52655,0.41925,0.49845
2030,independent,central,balanced_package,20000,0.11151126152488883,0.24909882460694324,0.2851423673226058,0.2771722071827287,0.30828648373930073,0.2609,0.5828,0.41925,0.49845
2030,independent,central,delay_case,20000,0.17986376957650926,0.3181858262795092,0.3633695124543836,0.3556911203078727,0.3908293043703116,0.2633,0.7921,0.54885,0.49845
2026,independent,conservative,none,20000,0.22732771790027032,0.29418189823658036,0.316936754993081,0.312605798423597,0.3313333593168488,0.0,1.0,1.0,1.0
2026,independent,conservative,uptake_push,20000,0.27234343731264754,0.3703490347684735,0.3932071982559469,0.3887402227140765,0.4076747750362916,0.66295,0.988,1.0,1.0
2026,independent,conservative,renewable_push,20000,0.17700679120102947,0.23505397981652426,0.25440839095929724,0.25057001197425477,0.26657913840607067,0.0,1.0,0.84245,1.0
2026,independent,conservative,fossil_reduction,20000,0.17009632665562777,0.22736156317900774,0.24703180417349493,0.2428222495739426,0.2595613624174797,0.0,0.95225,0.79715,1.0
2026,independent,conservative,balanced_package,20000,0.1739814301222045,0.29652265793163596,0.3215761535867578,0.31740719745485657,0.33687768073305296,0.29695,0.9832,0.79715,1.0
2026,independent,conservative,delay_case,20000,0.2570966134788289,0.31512270751875404,0.3349389085018074,0.331203304636409,0.34734474000221327,0.0,1.0,1.0,1.0
2027,independent,conservative,none,20000,0.2274641219174012,0.2955280933404738,0.31801654149224234,0.3131192139066441,0.3324103324358002,0.0,1.0,1.0,1.0
2027,independent,conservative,uptake_push,20000,0.2731350006075798,0.37161274714456005,0.3957120646471529,0.3911635022581948,0.4107021174571707,0.66685,0.9892,1.0,1.0
2027,independent,conservative,renewable_push,20000,0.17705093934753213,0.2356822210723935,0.2552312514430782,0.2512646372022488,0.2677880079934088,0.0,1.0,0.84335,1.0
2027,independent,conservative,fossil_reduction,20000,0.17019110862826345,0.22837138468341855,0.24761128785845388,0.2431246868430864,0.2601567792560656,0.0,0.95145,0.7982,1.0
2027,independent,conservative,balanced_package,20000,0.1754733690565887,0.2976864777798974,0.32397591383353685,0.3198089996372644,0.3400024485583449,0.3061,0.9841,0.7982,1.0
2027,independent,conservative,delay_case,20000,0.25723619255159774,0.3160612378345505,0.33591109408466535,0.33133986206895655,0.34843105328708224,0.0,1.0,1.0,1.0
2028,independent,conservative,none,20000,0.2276356390552338,0.2948154866042381,0.3179376958902376,0.31268811589205653,0.33283232023096915,0.0,1.0,1.0,1.0
2028,independent,conservative,uptake_push,20000,0.27327462189494844,0.3714321386228683,0.39483312820224087,0.39054288531437553,0.4094155865324797,0.6678,0.98935,1.0,1.0
2028,independent,conservative,renewable_push,20000,0.17739737331086566,0.2349369596407424,0.2554933798948244,0.25130322430709645,0.2685794570702475,0.0,1.0,0.84065,1.0
2028,independent,conservative,fossil_reduction,20000,0.17033625157690951,0.22785231177949475,0.24798827318599678,0.2432895925446349,0.2607072262759552,0.0,0.9542,0.7949,1.0
2028,independent,conservative,balanced_package,20000,0.17462569222224755,0.29749515955231703,0.32316088065882914,0.3189493909267054,0.3387595869986469,0.2992,0.98455,0.7949,1.0
2028,independent,conservative,delay_case,20000,0.25739900075378863,0.31596411907650684,0.3358781007872995,0.331262995676577,0.34880336513746496,0.0,1.0,1.0,1.0
2029,independent,conservative,none,20000,0.2271576582595611,0.2944701659309568,0.3174036415341993,0.31240320081152567,0.33206345524188624,0.0,1.0,1.0,1.0
2029,independent,conservative,uptake_push,20000,0.27298963967885564,0.37076922255587363,0.3934391067681462,0.38826207575735405,0.40775954944772574,0.66795,0.9893,1.0,1.0
2029,independent,conservative,renewable_push,20000,0.17683284464860208,0.2349500996825992,0.25491540587728223,0.25096255268892725,0.26772744056027015,0.0,1.0,0.8454,1.0
2029,independent,conservative,fossil_reduction,20000,0.1698900404710089,0.2275022045939339,0.24738307934255252,0.24295931681159572,0.26018797801340116,0.0,0.9534,0.79845,1.0
2029,independent,conservative,balanced_package,20000,0.1755987731494674,0.2978647066059718,0.32318250058368325,0.3187949628652207,0.3384044017544112,0.30865,0.98475,0.79845,1.0
2029,independent,conservative,delay_case,20000,0.25696262942390613,0.3152914199319035,0.33533781176432104,0.3313359534356019,0.34817308180065637,0.0,1.0,1.0,1.0
2030,independent,conservative,none,20000,0.22753565835597955,0.2950177940015112,0.3185351687834534,0.3134779681169807,0.33360993631714647,0.0,1.0,1.0,1.0
2030,independent,conservative,uptake_push,20000,0.27400308944976715,0.37292346081279343,0.3958823833601483,0.39084950109476735,0.41085440758762215,0.67205,0.98995,1.0,1.0
2030,independent,conservative,renewable_push,20000,0.17715778448044353,0.23571764218152128,0.2560881296904651,0.2518017480941265,0.2689197158363698,0.0,1.0,0.8415,1.0
2030,independent,conservative,fossil_reduction,20000,0.1702440006306058,0.2278791770446174,0.24835139149597416,0.24388013188711705,0.2614045756793439,0.0,0.9539,0.79185,1.0
2030,independent,conservative,balanced_package,20000,0.17573070672549373,0.297580326080115,0.3239485329501675,0.3194387514453972,0.33998253988519206,0.30715,0.9851,0.79185,1.0
2030,independent,conservative,delay_case,20000,0.2573063003227374,0.31575700318015704,0.33646018894050145,0.3322774158416277,0.3494759270858752,0.0,1.0,1.0,1.0
2026,independent,stress_tail,none,20000,0.37345407662145735,0.41132602867392987,0.42290592484191586,0.4209796989504208,0.4301529657201265,0.0,1.0,1.0,1.0
2026,independent,stress_tail,uptake_push,20000,0.3334590405922135,0.44907255797314166,0.4682107891939374,0.46537638631495143,0.47972407018199076,0.23065,1.0,1.0,1.0
2026,independent,stress_tail,renewable_push,20000,0.30413726867039437,0.33829971563005024,0.34883813314509055,0.3469162173653554,0.3553795051088453,0.0,1.0,1.0,1.0
2026,independent,stress_tail,fossil_reduction,20000,0.2969104463604698,0.3301282687769725,0.3402069160650517,0.33824690317673983,0.3464960294495407,0.0,1.0,1.0,1.0
2026,independent,stress_tail,balanced_package,20000,0.24514502245348632,0.2766857733769074,0.28633668844415366,0.2847135471278249,0.29236026691597533,0.0,1.0,1.0,1.0
2026,independent,stress_tail,delay_case,20000,0.3840788803008263,0.41695835650677976,0.42704988263552174,0.42532812929047886,0.4333405298107556,0.0,1.0,1.0,1.0
2027,independent,stress_tail,none,20000,0.37294140369369794,0.4112937492537108,0.4232453120604448,0.4208710781752714,0.4306680484447428,0.0,1.0,1.0,1.0
2027,independent,stress_tail,uptake_push,20000,0.33402251588441395,0.4505648378206576,0.470034941178112,0.46782962780365217,0.48132259783423825,0.2377,1.0,1.0,1.0
2027,independent,stress_tail,renewable_push,20000,0.30370423366533367,0.33825081705498045,0.3491333319300948,0.34716661350478173,0.3560185998270635,0.0,1.0,1.0,1.0
2027,independent,stress_tail,fossil_reduction,20000,0.2964368384025411,0.3300710423124395,0.3404668092448472,0.3382481655144011,0.347004154175856,0.0,1.0,1.0,1.0
2027,independent,stress_tail,balanced_package,20000,0.2447201220596129,0.2767464693689211,0.28663187017572384,0.2846727748721473,0.29287451698713474,0.0,1.0,1.0,1.0
2027,independent,stress_tail,delay_case,20000,0.383635365196621,0.41704098538238055,0.4273588136430077,0.4254250918448761,0.43385068161470847,0.0,1.0,1.0,1.0
2028,independent,stress_tail,none,20000,0.37361321784628465,0.4119837302639378,0.42353113732641806,0.42133242974944457,0.43077260859388183,0.0,1.0,1.0,1.0
2028,independent,stress_tail,uptake_push,20000,0.3339469184310336,0.44932512359320564,0.46884006950065465,0.4668081176492082,0.48016003268362956,0.23295,1.0,1.0,1.0
2028,independent,stress_tail,renewable_push,20000,0.30428588660225375,0.33883459406105176,0.34939869352890174,0.34748756605648207,0.3560347537273829,0.0,1.0,1.0,1.0
2028,independent,stress_tail,fossil_reduction,20000,0.29706478244006274,0.3306518817604056,0.3408029324598671,0.3388268726076227,0.3471910161943523,0.0,1.0,1.0,1.0
2028,independent,stress_tail,balanced_package,20000,0.24528789248816874,0.2771322881528341,0.2868659110603797,0.28513448150150195,0.29292519542602125,0.0,1.0,1.0,1.0
2028,independent,stress_tail,delay_case,20000,0.38422234567553853,0.41746906357074126,0.4275896160410078,0.42573467999994746,0.43390654301341997,0.0,1.0,1.0,1.0
2029,independent,stress_tail,none,20000,0.3731088466070993,0.41164897305839815,0.4230842378044379,0.4207774464066908,0.4301629854088189,0.0,1.0,1.0,1.0
2029,independent,stress_tail,uptake_push,20000,0.3331900694144397,0.4484571662792328,0.46784309820738057,0.4656909114929718,0.47918399966115616,0.23115,1.0,1.0,1.0
2029,independent,stress_tail,renewable_push,20000,0.3038773894431476,0.3383921878933334,0.34890507517012465,0.34695218511729603,0.3553818026193156,0.0,1.0,1.0,1.0
2029,independent,stress_tail,fossil_reduction,20000,0.29658988287970944,0.3306897633520687,0.34042434696183793,0.33864342560098853,0.3465933839848715,0.0,1.0,1.0,1.0
2029,independent,stress_tail,balanced_package,20000,0.24487046256134873,0.27693220196865764,0.2864591483304115,0.2846167861505924,0.2923562790040778,0.0,1.0,1.0,1.0
2029,independent,stress_tail,delay_case,20000,0.3837880240588169,0.41726893700190104,0.42718026243231594,0.42524898934243294,0.43334206092058797,0.0,1.0,1.0,1.0
2030,independent,stress_tail,none,20000,0.37376932083802195,0.41211508061990415,0.42333626436261,0.4214425529156817,0.4303162826197263,0.0,1.0,1.0,1.0
2030,independent,stress_tail,uptake_push,20000,0.33439709115875976,0.4490814903690306,0.46856990332275106,0.46599308606594037,0.47968291909166294,0.23495,1.0,1.0,1.0
2030,independent,stress_tail,renewable_push,20000,0.30440226927433084,0.3390117427077752,0.3492145014981359,0.34754503530278813,0.35548471833078643,0.0,1.0,1.0,1.0
2030,independent,stress_tail,fossil_reduction,20000,0.29715696306291256,0.3308974285890928,0.340682615696065,0.3389912709098411,0.34669172961493316,0.0,1.0,1.0,1.0
2030,independent,stress_tail,balanced_package,20000,0.2453890857618897,0.2772798163479854,0.2866754233123793,0.28511466333178864,0.29249285347181075,0.0,1.0,1.0,1.0
2030,independent,stress_tail,delay_case,20000,0.384338780281931,0.41763503483629416,0.42739761248764246,0.4257770863576569,0.43347627495541474,0.0,1.0,1.0,1.0
2026,gaussian,central,none,20000,0.15207875752061076,0.2880735771797255,0.3310588125510129,0.32381617261752144,0.35754005719715676,0.20555,0.71795,0.5062,0.50375
2026,gaussian,central,uptake_push,20000,0.14741328357679775,0.2995236712544102,0.3395688854171558,0.33290890842650317,0.3636886632923687,0.3466,0.65675,0.5062,0.50375
2026,gaussian,central,renewable_push,20000,0.11219153351099012,0.22417678124628745,0.2633377131323191,0.25582925223748587,0.2882793710004668,0.12475,0.71795,0.44105,0.50375
2026,gaussian,central,fossil_reduction,20000,0.12075665533656652,0.24832917298664356,0.2871388772189433,0.2815842417113158,0.30994546927614425,0.20555,0.565,0.4243,0.50375
2026,gaussian,central,balanced_package,20000,0.10389157812972988,0.229201438286039,0.26804355918481404,0.26243117678392835,0.2912282106249994,0.2187,0.6383,0.4243,0.50375
2026,gaussian,central,delay_case,20000,0.17578847422680366,0.3034453936037384,0.3437695287296475,0.33579167107726354,0.3694850169261536,0.2229,0.86715,0.55645,0.50375
2027,gaussian,central,none,20000,0.15098320373693433,0.28749076218234415,0.33140567615417454,0.32399567502944604,0.3577268318473005,0.2089,0.71465,0.50025,0.50725
2027,gaussian,central,uptake_push,20000,0.14648282102871021,0.29948453018871096,0.33902216102776356,0.3314910933609961,0.36335836399552013,0.34735,0.6482,0.50025,0.50725
2027,gaussian,central,renewable_push,20000,0.11147743318097746,0.22407511586673026,0.26424558664309816,0.2554469375108888,0.28897238673621395,0.1285,0.71465,0.4366,0.50725
2027,gaussian,central,fossil_reduction,20000,0.12003544515819263,0.24826868111032102,0.28766268283773905,0.2816239763903967,0.3112818578339945,0.2089,0.55305,0.41885,0.50725
2027,gaussian,central,balanced_package,20000,0.10393380066705103,0.23040072286786897,0.2681972895153501,0.2609287556679075,0.2913780040647095,0.22445,0.62735,0.41885,0.50725
2027,gaussian,central,delay_case,20000,0.17433553265797364,0.3017125608934333,0.34235932308669004,0.3354014948748454,0.3669196043283631,0.2251,0.86515,0.5477,0.50725
2028,gaussian,central,none,20000,0.1506734237714467,0.2859244028240526,0.32958599701230956,0.3231058504671982,0.35615173660728405,0.20565,0.7201,0.4936,0.4982
2028,gaussian,central,uptake_push,20000,0.1463847194269171,0.2964103197205212,0.3369371352876637,0.3295625173251629,0.36094997452743244,0.3469,0.65585,0.4936,0.4982
2028,gaussian,central,renewable_push,20000,0.11130503219486422,0.22358558659820932,0.26245011658442774,0.25454920915059326,0.2870341831271222,0.12605,0.7201,0.43255,0.4982
2028,gaussian,central,fossil_reduction,20000,0.11960379976362767,0.2462930335983347,0.2852955966923404,0.279059921414409,0.3091036156143105,0.20565,0.56575,0.4132,0.4982
2028,gaussian,central,balanced_package,20000,0.10312222786401237,0.2274690281138134,0.26586396854916955,0.25876799581402865,0.288195016503896,0.21885,0.6379,0.4132,0.4982
2028,gaussian,central,delay_case,20000,0.17373431950652105,0.3010995776100515,0.3420471098470059,0.3345706659477051,0.3672496849357901,0.22035,0.86375,0.54335,0.4982
2029,gaussian,central,none,20000,0.15253024730091333,0.2905867064845639,0.33167270913826835,0.3251392742624814,0.3565003066284087,0.212,0.71305,0.50105,0.49995
2029,gaussian,central,uptake_push,20000,0.14861529097061596,0.30096019554428527,0.3393313117326869,0.33200093805247166,0.36257311972100886,0.3552,0.65185,0.50105,0.49995
2029,gaussian,central,renewable_push,20000,0.11221205227057263,0.2258266359479287,0.2629483258351438,0.25544695312562915,0.2859895691878502,0.1295,0.71305,0.43885,0.49995
2029,gaussian,central,fossil_reduction,20000,0.12135331000379272,0.25113014602878725,0.28759929092068537,0.2814776134461895,0.3100716790102266,0.212,0.56295,0.4193,0.49995
2029,gaussian,central,balanced_package,20000,0.10503653986773788,0.23145393702202344,0.2677946511286646,0.2610053926647809,0.2899035405093374,0.2281,0.6351,0.4193,0.49995
2029,gaussian,central,delay_case,20000,0.17594699713832207,0.3045652851603687,0.34373176839804276,0.3371244500241066,0.3678991438151435,0.22855,0.86475,0.5497,0.49995
2030,gaussian,central,none,20000,0.15011311828714383,0.2851173069298113,0.3292432245054714,0.32144341481820093,0.35676145302106826,0.2045,0.7119,0.49505,0.50205
2030,gaussian,central,uptake_push,20000,0.1456207742511872,0.2977843614733112,0.3395163746389806,0.33371954651972063,0.36405629689198643,0.3447,0.6487,0.49505,0.50205
2030,gaussian,central,renewable_push,20000,0.11090006472264313,0.22215515862383925,0.261886709788888,0.25300089463066106,0.2871115117000054,0.12535,0.7119,0.4315,0.50205
2030,gaussian,central,fossil_reduction,20000,0.11929434757036854,0.2456191256526813,0.2859103652374669,0.2799688546645685,0.31035098433180885,0.2045,0.55705,0.4129,0.50205
2030,gaussian,central,balanced_package,20000,0.10294073454086815,0.22801776135025872,0.2670771237023264,0.2592631212155197,0.2907851058887324,0.21955,0.63065,0.4129,0.50205
2030,gaussian,central,delay_case,20000,0.17364473863878424,0.2998872421157488,0.3410486591508049,0.3314557375164195,0.3673362002194284,0.2222,0.86275,0.5423,0.50205
2026,gaussian,conservative,none,20000,0.2274978243779775,0.30705186292722125,0.33339665123770895,0.32824717634765505,0.3496630466256171,0.0,1.0,1.0,1.0
2026,gaussian,conservative,uptake_push,20000,0.2740318781595768,0.3649116755131546,0.38667127949945346,0.3828586680925293,0.40018250841094766,0.668,0.99925,1.0,1.0
2026,gaussian,conservative,renewable_push,20000,0.17704138308561196,0.2453577552251163,0.2685045755711732,0.2641096984913334,0.28308286464089244,0.0,1.0,0.8445,1.0
2026,gaussian,conservative,fossil_reduction,20000,0.1700028118253812,0.2404770942152213,0.2633963932096866,0.25891544925524484,0.2778773608722009,0.0,0.9868,0.79705,1.0
2026,gaussian,conservative,balanced_package,20000,0.17072799335435004,0.2787766113924561,0.3055346617969259,0.30214279947465367,0.3209491324294356,0.2703,0.9985,0.79705,1.0
2026,gaussian,conservative,delay_case,20000,0.2572421017178427,0.32600493963337523,0.3489568835044731,0.3447107740391935,0.36314275172140126,0.0,1.0,1.0,1.0
2027,gaussian,conservative,none,20000,0.22743993241119229,0.3069971911132191,0.33344658612936956,0.32815628935866303,0.3504246314284013,0.0,1.0,1.0,1.0
2027,gaussian,conservative,uptake_push,20000,0.27352529208714177,0.3625449162370094,0.38509985702767574,0.3810616657137937,0.3989256462316667,0.665,0.9992,1.0,1.0
2027,gaussian,conservative,renewable_push,20000,0.17702640294065505,0.24510600897184445,0.2687325483881916,0.26412336747518866,0.2838754748437621,0.0,1.0,0.84215,1.0
