year,dependence,scenario_family,weight_scheme,threshold_mode,cvar_level,mean_loss,p_tail_loss,cvar_loss
2026,independent,conservative,baseline,lenient,0.9,0.15083563478187192,0.26567533704614194,0.30206144922424366
2026,independent,conservative,baseline,lenient,0.95,0.15083563478187192,0.2976552621776686,0.3237092626061081
2026,independent,conservative,equal,lenient,0.9,0.1533320424343722,0.2839944989252283,0.3213936883194856
2026,independent,conservative,equal,lenient,0.95,0.1533320424343722,0.31696401046871453,0.3426737877570712
2026,independent,conservative,uptake_heavy,lenient,0.9,0.14065159908203687,0.21547889518606428,0.2418867573782587
2026,independent,conservative,uptake_heavy,lenient,0.95,0.14065159908203687,0.23665362777611731,0.2584344003169025
2026,independent,conservative,grid_emissions_heavy,lenient,0.9,0.1462131922010415,0.23882518359087204,0.27365341038605767
2026,independent,conservative,grid_emissions_heavy,lenient,0.95,0.1462131922010415,0.2671000865979501,0.29537992536565777
2026,independent,conservative,fossil_heavy,lenient,0.9,0.1571539948038977,0.2501735715993861,0.28688022024853216
2026,independent,conservative,fossil_heavy,lenient,0.95,0.1571539948038977,0.28012214858613377,0.309918486689033
2026,independent,conservative,baseline,baseline,0.9,0.22714588871949432,0.2950140973307241,0.31706305030666804
2026,independent,conservative,baseline,baseline,0.95,0.22714588871949432,0.3126012879611238,0.3313030081462136
2026,independent,conservative,equal,baseline,0.9,0.22482229974712145,0.2929820130602732,0.31556890204910515
2026,independent,conservative,equal,baseline,0.95,0.22482229974712145,0.311154981836177,0.3297000259700141
2026,independent,conservative,uptake_heavy,baseline,0.9,0.22614601459171482,0.29070831825666016,0.3126357635521962
2026,independent,conservative,uptake_heavy,baseline,0.95,0.22614601459171482,0.30836388924238994,0.3266512393581937
2026,independent,conservative,grid_emissions_heavy,baseline,0.9,0.2322355221149429,0.31413418353624506,0.338710294996487
2026,independent,conservative,grid_emissions_heavy,baseline,0.95,0.2322355221149429,0.33444642176071215,0.35403363972867646
2026,independent,conservative,fossil_heavy,baseline,0.9,0.2580270321228552,0.3419147135616377,0.36868035226836327
2026,independent,conservative,fossil_heavy,baseline,0.95,0.2580270321228552,0.36318530243106817,0.3856060626782368
2026,independent,conservative,baseline,strict,0.9,0.32602884235711826,0.39389705096834804,0.41594600394429193
2026,independent,conservative,baseline,strict,0.95,0.32602884235711826,0.4114842415987477,0.4301859617838375
2026,independent,conservative,equal,strict,0.9,0.32067263080549896,0.3888323441186507,0.4114192331074827
2026,independent,conservative,equal,strict,0.95,0.32067263080549896,0.40700531289455455,0.42555035702839156
2026,independent,conservative,uptake_heavy,strict,0.9,0.3381313311565925,0.40269363482153786,0.42462108011707383
2026,independent,conservative,uptake_heavy,strict,0.95,0.3381313311565925,0.4203492058072676,0.4386365559230713
2026,independent,conservative,grid_emissions_heavy,strict,0.9,0.3409336445865927,0.4228323060078948,0.44740841746813687
2026,independent,conservative,grid_emissions_heavy,strict,0.95,0.3409336445865927,0.443144544232362,0.4627317622003262
2026,independent,conservative,fossil_heavy,strict,0.9,0.35399015168496817,0.43787783312375056,0.46464347183047605
2026,independent,conservative,fossil_heavy,strict,0.95,0.35399015168496817,0.4591484219931811,0.4815691822403496
2027,independent,conservative,baseline,lenient,0.9,0.15129514968607277,0.2640534552810786,0.30212682397294677
2027,independent,conservative,baseline,lenient,0.95,0.15129514968607277,0.2968587594358566,0.32446007807650257
2027,independent,conservative,equal,lenient,0.9,0.15382045244931072,0.28234137902317047,0.32088098106804214
2027,independent,conservative,equal,lenient,0.95,0.15382045244931072,0.31568085451719674,0.3432058868368564
2027,independent,conservative,uptake_heavy,lenient,0.9,0.14093418297637178,0.21523124615182992,0.24229313078290973
2027,independent,conservative,uptake_heavy,lenient,0.95,0.14093418297637178,0.2371432448395439,0.2592108858247434
2027,independent,conservative,grid_emissions_heavy,lenient,0.9,0.14696139810377523,0.23971731472956276,0.2743168421858572
2027,independent,conservative,grid_emissions_heavy,lenient,0.95,0.14696139810377523,0.26700295118976625,0.29644335286048984
2027,independent,conservative,fossil_heavy,lenient,0.9,0.15740868243602854,0.24794967162163128,0.28634022433587414
2027,independent,conservative,fossil_heavy,lenient,0.95,0.15740868243602854,0.2788697374997205,0.3108420225721419
2027,independent,conservative,baseline,baseline,0.9,0.22738550857068912,0.29514956105824935,0.3173077346566646
2027,independent,conservative,baseline,baseline,0.95,0.22738550857068912,0.3128988116995871,0.33129857440565325
2027,independent,conservative,equal,baseline,0.9,0.22503224792638088,0.29348341370507947,0.3159763502142732
2027,independent,conservative,equal,baseline,0.95,0.22503224792638088,0.3111218259751803,0.33046072557948913
2027,independent,conservative,uptake_heavy,baseline,0.9,0.2262652840864012,0.2909156036967392,0.31284122171538686
2027,independent,conservative,uptake_heavy,baseline,0.95,0.2262652840864012,0.3080552566883549,0.32697670669486223
2027,independent,conservative,grid_emissions_heavy,baseline,0.9,0.23282438275206374,0.31514735646083586,0.3390761160742763
2027,independent,conservative,grid_emissions_heavy,baseline,0.95,0.23282438275206374,0.33459022340260886,0.3540560555389008
2027,independent,conservative,fossil_heavy,baseline,0.9,0.2581554260176441,0.3425272928350125,0.368715771977603
2027,independent,conservative,fossil_heavy,baseline,0.95,0.2581554260176441,0.36353460724542663,0.3851336316151914
2027,independent,conservative,baseline,strict,0.9,0.32626846220831074,0.39403251469587103,0.41619068829428624
2027,independent,conservative,baseline,strict,0.95,0.32626846220831074,0.4117817653372087,0.4301815280432749
2027,independent,conservative,equal,strict,0.9,0.3208825789847565,0.38933374476345517,0.4118266812726488
2027,independent,conservative,equal,strict,0.95,0.3208825789847565,0.4069721570335559,0.4263110566378648
2027,independent,conservative,uptake_heavy,strict,0.9,0.33825060065127704,0.402900920261615,0.42482653828026273
2027,independent,conservative,uptake_heavy,strict,0.95,0.33825060065127704,0.4200405732532307,0.4389620232597381
2027,independent,conservative,grid_emissions_heavy,strict,0.9,0.3415225052237124,0.4238454789324846,0.447774238545925
2027,independent,conservative,grid_emissions_heavy,strict,0.95,0.3415225052237124,0.44328834587425764,0.4627541780105495
