source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,generation_gwh,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1992-93,brown coal,non_renewable,33248.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1993-94,brown coal,non_renewable,34890.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1994-95,brown coal,non_renewable,35832.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1995-96,brown coal,non_renewable,39427.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1996-97,brown coal,non_renewable,41893.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1997-98,brown coal,non_renewable,46633.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1998-99,brown coal,non_renewable,49703.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1999-00,brown coal,non_renewable,50200.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2000-01,brown coal,non_renewable,52223.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2001-02,brown coal,non_renewable,56493.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2002-03,brown coal,non_renewable,55160.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2003-04,brown coal,non_renewable,55572.8,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2004-05,brown coal,non_renewable,53377.8,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2005-06,brown coal,non_renewable,54552.8,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2006-07,brown coal,non_renewable,54375.8,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2007-08,brown coal,non_renewable,54658.7,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2008-09,brown coal,non_renewable,56981.4,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2009-10,brown coal,non_renewable,56068.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2010-11,brown coal,non_renewable,55298.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2011-12,brown coal,non_renewable,55067.7,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2012-13,brown coal,non_renewable,47555.1,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2013-14,brown coal,non_renewable,46076.2,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2014-15,brown coal,non_renewable,50970.4,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2015-16,brown coal,non_renewable,48827.807,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2016-17,brown coal,non_renewable,43594.098,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2017-18,brown coal,non_renewable,36021.427,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2018-19,brown coal,non_renewable,34495.245,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2019-20,brown coal,non_renewable,33661.55,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2020-21,brown coal,non_renewable,34060.028,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2021-22,brown coal,non_renewable,32515.636,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2022-23,brown coal,non_renewable,31459.126,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2023-24,brown coal,non_renewable,32137.08,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2024-25,brown coal,non_renewable,30417.178,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1989-90,natural gas,non_renewable,14359.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1990-91,natural gas,non_renewable,10772.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1991-92,natural gas,non_renewable,11633.0,false
