geography,period_type,period,is_estimate,total_generation_gwh,renewable_generation_gwh,non_renewable_generation_gwh,renewable_share_percent,non_renewable_share_percent
NSW,financial_year,2008-09,false,72369.377,2249.277,70120.1,3.108050798889702,96.89194920111032
NSW,financial_year,2009-10,false,73007.826,3922.326,69085.5,5.372473356486467,94.62752664351353
NSW,financial_year,2010-11,false,69680.869,4144.569,65536.3,5.947929552945156,94.05207044705483
NSW,financial_year,2011-12,false,69332.425,4624.525,64707.9,6.670075365170048,93.32992463482995
NSW,financial_year,2012-13,false,67985.289,5827.089,62158.2,8.571102786663156,91.42889721333684
NSW,financial_year,2013-14,false,66996.639,5478.144,61518.495,8.176744508034202,91.82325549196581
NSW,financial_year,2014-15,false,62816.441,5441.551,57374.89,8.66262225839888,91.33737774160112
NSW,financial_year,2015-16,false,68229.377,7976.784,60252.593,11.691128295074423,88.30887170492558
NSW,financial_year,2016-17,false,68159.247,8539.75,59619.497,12.529114354799137,87.47088564520087
NSW,financial_year,2017-18,false,69724.621,9332.271,60392.35,13.38447002816982,86.61552997183017
NSW,financial_year,2018-19,false,71560.795,11142.976,60417.819,15.571341822013018,84.42865817798699
NSW,financial_year,2019-20,false,70064.736,13289.838,56774.898,18.96794130502397,81.03205869497603
NSW,financial_year,2020-21,false,70162.827,17128.232,53034.595,24.412117829858822,75.58788217014117
NSW,financial_year,2021-22,false,72099.159,21471.578,50627.581,29.780621990334176,70.21937800966582
NSW,financial_year,2022-23,false,72770.754,24280.866,48489.888,33.36624215821647,66.63375784178352
NSW,financial_year,2023-24,false,74071.235,26435.142,47636.092,35.68880956284852,64.31118908709973
NSW,financial_year,2024-25,false,76669.996,29990.965,46679.031,39.116951303871204,60.8830486961288
