source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,value,unit,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,biogas,renewable,462.762,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,biogas,renewable,428.728,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,biogas,renewable,266.337,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,biogas,renewable,98.788,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,biogas,renewable,86.906,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,biogas,renewable,37.833,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NT,financial_year,2024-25,biogas,renewable,8.198,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,biogas,renewable,1389.552,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,wind,renewable,7419.461,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,wind,renewable,12443.498,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,wind,renewable,3423.978,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,wind,renewable,3956.519,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,wind,renewable,6434.471,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,wind,renewable,1876.276,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,wind,renewable,35554.203,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,hydro,renewable,3077.198,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,hydro,renewable,2904.765,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,hydro,renewable,1533.882,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,hydro,renewable,72.531,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,hydro,renewable,4.639,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,hydro,renewable,6484.5,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,hydro,renewable,14077.516,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,large-scale solar pv,renewable,8243.058,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,large-scale solar pv,renewable,2514.354,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,large-scale solar pv,renewable,6695.987,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,large-scale solar pv,renewable,991.732,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,large-scale solar pv,renewable,1259.776,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,large-scale solar pv,renewable,17.276,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NT,financial_year,2024-25,large-scale solar pv,renewable,115.177,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,large-scale solar pv,renewable,19837.36,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,small-scale solar pv,renewable,10166.727,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,small-scale solar pv,renewable,6111.188,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,small-scale solar pv,renewable,9024.308,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,small-scale solar pv,renewable,3760.464,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,small-scale solar pv,renewable,3460.149,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,small-scale solar pv,renewable,400.995,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NT,financial_year,2024-25,small-scale solar pv,renewable,300.294,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,small-scale solar pv,renewable,33224.127,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,total renewable,subtotal_renewable,29990.965,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,total renewable,subtotal_renewable,24523.543,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,total renewable,subtotal_renewable,22042.814,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,total renewable,subtotal_renewable,8880.034,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,total renewable,subtotal_renewable,11245.941,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,total renewable,subtotal_renewable,8816.881,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NT,financial_year,2024-25,total renewable,subtotal_renewable,423.668,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,total renewable,subtotal_renewable,105923.846,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,total,total,76669.996,GWh,false
