year,dependence,scenario_family,mean_loss,regret_vs_best_scenario
2026,gaussian,conservative,0.2268926033448468,0.2268926033448468
2026,gaussian,central,0.15180530388221342,0.15180530388221342
2026,gaussian,optimistic,0.0,0.0
2026,gaussian,stress_tail,0.37312841622921417,0.37312841622921417
2026,independent,conservative,0.22714588871949432,0.22714588871949432
2026,independent,central,0.15771447212864115,0.15771447212864115
2026,independent,optimistic,0.0,0.0
2026,independent,stress_tail,0.373334943866741,0.373334943866741
2026,student_t,conservative,0.2276188746326775,0.2276188746326775
2026,student_t,central,0.1511223945319475,0.1511223945319475
2026,student_t,optimistic,0.0,0.0
2026,student_t,stress_tail,0.3731469786724908,0.3731469786724908
2027,gaussian,conservative,0.22765714854330626,0.22765714854330626
2027,gaussian,central,0.15219512748039277,0.15219512748039277
2027,gaussian,optimistic,0.0,0.0
2027,gaussian,stress_tail,0.3732537226485757,0.3732537226485757
2027,independent,conservative,0.22738550857068912,0.22738550857068912
2027,independent,central,0.15825648870037803,0.15825648870037803
2027,independent,optimistic,0.0,0.0
2027,independent,stress_tail,0.37326932219396347,0.37326932219396347
2027,student_t,conservative,0.2277153710622013,0.2277153710622013
2027,student_t,central,0.15173254406670186,0.15173254406670186
2027,student_t,optimistic,0.0,0.0
2027,student_t,stress_tail,0.3735609540664204,0.3735609540664204
2028,gaussian,conservative,0.2271589545097645,0.2271589545097645
2028,gaussian,central,0.15177939297932808,0.15177939297932808
2028,gaussian,optimistic,0.0,0.0
2028,gaussian,stress_tail,0.3735660565262033,0.3735660565262033
2028,independent,conservative,0.22753284989399047,0.22753284989399047
2028,independent,central,0.1582127122145425,0.1582127122145425
2028,independent,optimistic,0.0,0.0
2028,independent,stress_tail,0.3731900008965079,0.3731900008965079
2028,student_t,conservative,0.22711399661639126,0.22711399661639126
2028,student_t,central,0.15214375946565983,0.15214375946565983
2028,student_t,optimistic,0.0,0.0
2028,student_t,stress_tail,0.3732774297174819,0.3732774297174819
2029,gaussian,conservative,0.22679220106691,0.22679220106691
2029,gaussian,central,0.152931724607708,0.152931724607708
2029,gaussian,optimistic,0.0,0.0
2029,gaussian,stress_tail,0.37340415049750825,0.37340415049750825
2029,independent,conservative,0.22770281872490777,0.22770281872490777
2029,independent,central,0.1580324240477374,0.1580324240477374
2029,independent,optimistic,0.0,0.0
2029,independent,stress_tail,0.3731472502759619,0.3731472502759619
2029,student_t,conservative,0.22714403915836875,0.22714403915836875
2029,student_t,central,0.1519125955968555,0.1519125955968555
2029,student_t,optimistic,0.0,0.0
2029,student_t,stress_tail,0.3735719165990678,0.3735719165990678
2030,gaussian,conservative,0.22730751768370533,0.22730751768370533
2030,gaussian,central,0.15183118600264192,0.15183118600264192
2030,gaussian,optimistic,0.0,0.0
2030,gaussian,stress_tail,0.3735834712960845,0.3735834712960845
2030,independent,conservative,0.2275856936166496,0.2275856936166496
2030,independent,central,0.1589711238682523,0.1589711238682523
2030,independent,optimistic,0.0,0.0
2030,independent,stress_tail,0.37336439717903375,0.37336439717903375
2030,student_t,conservative,0.22671984453595267,0.22671984453595267
2030,student_t,central,0.151264305274149,0.151264305274149
2030,student_t,optimistic,0.0,0.0
2030,student_t,stress_tail,0.3734949140014881,0.3734949140014881
